Ramal,Id Origen,Origen,Id Destino,Destino,Pax,lon_origen,lat_origen,lon_destino,lat_destino,dist_retiro
Retiro - Tigre,0,Retiro (Tigre),38,Retiro (Tigre),13947,"-58,3752","-34,5913","-58,3752","-34,5913","0,000"
Retiro - Tigre,0,Retiro (Tigre),39,L. de la Torre,157773,"-58,3752","-34,5913","-58,4367","-34,5625","0,000"
Retiro - Tigre,0,Retiro (Tigre),40,Belgrano C,695548,"-58,3752","-34,5913","-58,4495","-34,5584","0,000"
Retiro - Tigre,0,Retiro (Tigre),41,Nuñez,350056,"-58,3752","-34,5913","-58,4624","-34,5489","0,000"
Retiro - Tigre,0,Retiro (Tigre),42,Rivadavia,215139,"-58,3752","-34,5913","-58,4683","-34,5362","0,000"
Retiro - Tigre,0,Retiro (Tigre),43,Vicente Lopez,198956,"-58,3752","-34,5913","-58,4728","-34,5242","0,000"
Retiro - Tigre,0,Retiro (Tigre),44,Olivos,196459,"-58,3752","-34,5913","-58,4801","-34,5082","0,000"
Retiro - Tigre,0,Retiro (Tigre),45,La Lucila,142697,"-58,3752","-34,5913","-58,4887","-34,4972","0,000"
Retiro - Tigre,0,Retiro (Tigre),46,Martinez,289957,"-58,3752","-34,5913","-58,4970","-34,4877","0,000"
Retiro - Tigre,0,Retiro (Tigre),47,Acassuso,148601,"-58,3752","-34,5913","-58,5038","-34,4797","0,000"
Retiro - Tigre,0,Retiro (Tigre),48,San Isidro,399526,"-58,3752","-34,5913","-58,5138","-34,4714","0,000"
Retiro - Tigre,0,Retiro (Tigre),49,Beccar,175141,"-58,3752","-34,5913","-58,5261","-34,4612","0,000"
Retiro - Tigre,0,Retiro (Tigre),50,Victoria,99470,"-58,3752","-34,5913","-58,5408","-34,4566","0,000"
Retiro - Tigre,0,Retiro (Tigre),51,Virreyes,151351,"-58,3752","-34,5913","-58,5506","-34,4507","0,000"
Retiro - Tigre,0,Retiro (Tigre),52,San Fernando,113802,"-58,3752","-34,5913","-58,5592","-34,4439","0,000"
Retiro - Tigre,0,Retiro (Tigre),53,Carupa,120604,"-58,3752","-34,5913","-58,5671","-34,4377","0,000"
Retiro - Tigre,0,Retiro (Tigre),54,Tigre,455389,"-58,3752","-34,5913","-58,5819","-34,4235","0,000"
Retiro - Tigre,1,L. de la Torre,38,Retiro (Tigre),158500,"-58,4367","-34,5625","-58,3752","-34,5913","6,704"
Retiro - Tigre,1,L. de la Torre,39,L. de la Torre,1512,"-58,4367","-34,5625","-58,4367","-34,5625","6,704"
Retiro - Tigre,1,L. de la Torre,40,Belgrano C,9953,"-58,4367","-34,5625","-58,4495","-34,5584","6,704"
Retiro - Tigre,1,L. de la Torre,41,Nuñez,6870,"-58,4367","-34,5625","-58,4624","-34,5489","6,704"
Retiro - Tigre,1,L. de la Torre,42,Rivadavia,9398,"-58,4367","-34,5625","-58,4683","-34,5362","6,704"
Retiro - Tigre,1,L. de la Torre,43,Vicente Lopez,9742,"-58,4367","-34,5625","-58,4728","-34,5242","6,704"
Retiro - Tigre,1,L. de la Torre,44,Olivos,11357,"-58,4367","-34,5625","-58,4801","-34,5082","6,704"
Retiro - Tigre,1,L. de la Torre,45,La Lucila,6208,"-58,4367","-34,5625","-58,4887","-34,4972","6,704"
Retiro - Tigre,1,L. de la Torre,46,Martinez,22217,"-58,4367","-34,5625","-58,4970","-34,4877","6,704"
Retiro - Tigre,1,L. de la Torre,47,Acassuso,12164,"-58,4367","-34,5625","-58,5038","-34,4797","6,704"
Retiro - Tigre,1,L. de la Torre,48,San Isidro,22217,"-58,4367","-34,5625","-58,5138","-34,4714","6,704"
Retiro - Tigre,1,L. de la Torre,49,Beccar,11868,"-58,4367","-34,5625","-58,5261","-34,4612","6,704"
Retiro - Tigre,1,L. de la Torre,50,Victoria,8934,"-58,4367","-34,5625","-58,5408","-34,4566","6,704"
Retiro - Tigre,1,L. de la Torre,51,Virreyes,11996,"-58,4367","-34,5625","-58,5506","-34,4507","6,704"
Retiro - Tigre,1,L. de la Torre,52,San Fernando,9377,"-58,4367","-34,5625","-58,5592","-34,4439","6,704"
Retiro - Tigre,1,L. de la Torre,53,Carupa,7577,"-58,4367","-34,5625","-58,5671","-34,4377","6,704"
Retiro - Tigre,1,L. de la Torre,54,Tigre,29165,"-58,4367","-34,5625","-58,5819","-34,4235","6,704"
Retiro - Tigre,2,Belgrano C,38,Retiro (Tigre),849990,"-58,4495","-34,5584","-58,3752","-34,5913","7,991"
Retiro - Tigre,2,Belgrano C,48,San Isidro,275959,"-58,4495","-34,5584","-58,5138","-34,4714","7,991"
Retiro - Tigre,2,Belgrano C,54,Tigre,265020,"-58,4495","-34,5584","-58,5819","-34,4235","7,991"
Retiro - Tigre,2,Belgrano C,46,Martinez,146066,"-58,4495","-34,5584","-58,4970","-34,4877","7,991"
Retiro - Tigre,2,Belgrano C,51,Virreyes,104940,"-58,4495","-34,5584","-58,5506","-34,4507","7,991"
Retiro - Tigre,2,Belgrano C,49,Beccar,96020,"-58,4495","-34,5584","-58,5261","-34,4612","7,991"
Retiro - Tigre,2,Belgrano C,44,Olivos,87071,"-58,4495","-34,5584","-58,4801","-34,5082","7,991"
Retiro - Tigre,2,Belgrano C,52,San Fernando,86325,"-58,4495","-34,5584","-58,5592","-34,4439","7,991"
Retiro - Tigre,2,Belgrano C,47,Acassuso,85250,"-58,4495","-34,5584","-58,5038","-34,4797","7,991"
Retiro - Tigre,2,Belgrano C,43,Vicente Lopez,80679,"-58,4495","-34,5584","-58,4728","-34,5242","7,991"
Retiro - Tigre,2,Belgrano C,50,Victoria,69259,"-58,4495","-34,5584","-58,5408","-34,4566","7,991"
Retiro - Tigre,2,Belgrano C,53,Carupa,65516,"-58,4495","-34,5584","-58,5671","-34,4377","7,991"
Retiro - Tigre,2,Belgrano C,42,Rivadavia,63003,"-58,4495","-34,5584","-58,4683","-34,5362","7,991"
Retiro - Tigre,2,Belgrano C,45,La Lucila,48280,"-58,4495","-34,5584","-58,4887","-34,4972","7,991"
Retiro - Tigre,2,Belgrano C,41,Nuñez,41837,"-58,4495","-34,5584","-58,4624","-34,5489","7,991"
Retiro - Tigre,2,Belgrano C,40,Belgrano C,30492,"-58,4495","-34,5584","-58,4495","-34,5584","7,991"
Retiro - Tigre,2,Belgrano C,39,L. de la Torre,10495,"-58,4495","-34,5584","-58,4367","-34,5625","7,991"
Retiro - Tigre,3,Nuñez,38,Retiro (Tigre),359760,"-58,4624","-34,5489","-58,3752","-34,5913","9,602"
Retiro - Tigre,3,Nuñez,39,L. de la Torre,7790,"-58,4624","-34,5489","-58,4367","-34,5625","9,602"
