Ramal,Estación,Cantidad
Retiro - Suárez / Mitre,3 De febrero,466846
Retiro - Tigre,Acassuso,399517
Retiro - Tigre,Beccar,558103
Retiro - Tigre,Belgrano C,3625088
Retiro - Suárez / Mitre,Belgrano R,1245052
Retiro - Suárez / Mitre,Carranza,1065219
Retiro - Tigre,Carupa,701631
Retiro - Suárez / Mitre,Cetrángolo,63912
Retiro - Suárez / Mitre,Chilavert,347769
Retiro - Suárez / Mitre,Coghlan,179348
Retiro - Suárez / Mitre,Colegiales,394278
Retiro - Suárez / Mitre,Drago,311505
Retiro - Suárez / Mitre,Florida,87666
Retiro - Suárez / Mitre,J. L. Suárez,1960843
Retiro - Suárez / Mitre,Juan B. Justo,89534
Retiro - Tigre,L. de la Torre,472666
Retiro - Tigre,La Lucila,335743
Retiro - Suárez / Mitre,Malaver,176217
Retiro - Tigre,Martinez,1068909
Retiro - Suárez / Mitre,Miguelete,337082
Retiro - Suárez / Mitre,Mitre,359468
Retiro - Tigre,Nuñez,645286
Retiro - Tigre,Olivos,539790
Retiro - Suárez / Mitre,Pueyrredón,414581
Retiro - Suárez / Mitre,Retiro (Suárez / Mitre),4099753
Retiro - Tigre,Retiro (Tigre),5676382
Retiro - Tigre,Rivadavia,538558
Retiro - Suárez / Mitre,Saavedra,144395
Retiro - Suárez / Mitre,San Andrés,220952
Retiro - Tigre,San Fernando,818228
Retiro - Tigre,San Isidro,1992893
Retiro - Suárez / Mitre,San Martín,1869733
Retiro - Tigre,Tigre,2822481
Retiro - Suárez / Mitre,Urquiza,1699449
Retiro - Suárez / Mitre,V. Ballester,1287852
Retiro - Tigre,Vicente Lopez,547049
Retiro - Tigre,Victoria,560523
Retiro - Tigre,Virreyes,915371
